,            identifier             ,   radvel   ,  redshift  ,     cz     , distance Q unit
95,6dFGS gJ011554.3-294442            ,9642.0,0.032697,9802.17,28.71
118,LEDA 3091777                       ,10141.0,0.034419,10318.47,28.31
140,2MASX J22462299+2838466            ,9948.0,0.033752,10118.67,26.92
290,2MASX J17065000-0524461            ,9118.0,0.0309,9261.0,29.38
